id,gameNo,gameName,gameCode,type,costPrice,tax,salePrice,dateOfSale
1,36,uBKprHZmVJ,tmCyy,2,35.46,3.19,38.65,2024-04-09
2,71,oNvkstwhgo,hTG4O,2,90.2,8.12,98.32,2024-04-14
3,89,sonwjVSkNW,1orz9,1,46.33,4.17,50.5,2024-04-11
4,62,ujYCNIyyCr,DGAgC,1,31.64,2.85,34.49,2024-04-23
5,2,pERjQqUAjA,ANIIx,2,70.75,6.37,77.12,2024-04-11
6,20,vaXOAuVUAR,ZYwTE,1,12.1,1.09,13.19,2024-04-25
7,40,FemgsAVmSr,7eNjH,2,13.11,1.18,14.29,2024-04-20
8,61,OPwmPpksOM,Ks5Of,1,54.22,4.88,59.1,2024-04-19
9,3,WaXzIsqYeq,4VI8t,1,32.49,2.92,35.41,2024-04-17
10,39,OVajSNPvbB,AzGnp,2,76.44,6.88,83.32,2024-04-21
11,5,qcOBlQynmD,jsiBI,1,99.13,8.92,108.05,2024-04-01
12,38,EHBioMRlvG,TgVKz,2,65.32,5.88,71.2,2024-04-04
13,28,RhoPipdPqR,MzQ6G,2,60.57,5.45,66.02,2024-04-17
14,59,exQGqefOBh,Zvr7p,2,38.91,3.5,42.41,2024-04-21
15,31,PnVddXkRsw,ytW7O,1,65.89,5.93,71.82,2024-04-26
16,7,EBicfLTXXG,DAc01,1,16.32,1.47,17.79,2024-04-19
17,87,bygewlWVog,nC59m,1,96.61,8.69,105.3,2024-04-14
18,39,GlvBsnkDIx,LRPt1,2,48.61,4.37,52.98,2024-04-17
19,74,JLaRmbfLJG,GFlwm,2,66.24,5.96,72.2,2024-04-08
20,60,iIMHjysWGE,XBfoN,2,60.9,5.48,66.38,2024-04-28
21,85,ZSuXPBeJdD,3LzTh,2,14.14,1.27,15.41,2024-04-09
22,81,twRpdKYbIC,JyurU,2,79.19,7.13,86.32,2024-04-04
23,14,QeHGCojktR,25s4N,1,67.76,6.1,73.86,2024-04-10
24,59,HMbJEPnOkM,pTtJT,1,92.1,8.29,100.39,2024-04-15
25,26,FMfNSXuDYi,At6Pv,2,78.19,7.04,85.23,2024-04-10
26,65,VKeJQytGwB,dqHBL,2,59.45,5.35,64.8,2024-04-25
27,49,sFzYWsYVPk,x3rjn,1,57.06,5.14,62.2,2024-04-15
28,67,wkTclyyLVz,3kF65,2,58.04,5.22,63.26,2024-04-14
29,27,gjqjDNLMYv,756aB,2,26.7,2.4,29.1,2024-04-13
